street_name,num_of_rooms,size,type,location,final_price,sold_month,sold_year,price_change,initial_price,floor_num,year_built
Maltesholmsvägen,2.5,60,Lägenhet, Hässelby-Vällingby,2100000,dec,2019,0.0,2100000,5,2012
Strahlenbergsgatan,2.0,47,Lägenhet, Johanneshov,3015000,dec,2019,25.9,2394757,5,2012
Grev,2.0,46,Lägenhet, Östermalm,4625000,dec,2019,0.0,4625000,5,2012
Grevgatan,2.0,57,Lägenhet, Östermalm,6550000,dec,2019,15.4,5675909,5,2012
Kristinebergsvägen,2.0,46,Lägenhet, Kungsholmen,3900000,dec,2019,22.1,3194103,5,2012
Storsjövägen,2.0,52,Lägenhet, Årsta,2920000,dec,2019,17.0,2495726,5,2012
Alströmergatan,2.0,45,Lägenhet, Kungsholmen Fridhemsplan,4050000,dec,2019,65.3,2450090,5,2012
Folkparksvägen,2.0,56,Lägenhet, Solberga,2450000,dec,2019,22.8,1995114,5,2012
Kungsbro,1.0,34,Lägenhet, Kungsholmen,3215000,dec,2019,15.0,2795652,5,2012
Tellusborgsvägen,1.5,36,Lägenhet, Midsommarkransen,2850000,dec,2019,29.8,2195000,5,2012
Rindögatan,1.0,23,Lägenhet, Gärdet,2900000,dec,2019,38.4,2095375,3,1968
Björkbacksvägen,2.0,47,Lägenhet, Bromma,2310000,dec,2019,15.8,1994818,3,1968
Stadingeplan,3.5,77,Lägenhet, Spånga-Tensta,1900000,dec,2019,19.1,1595000,3,1968
Högalidsgatan,1.0,25,Lägenhet, Södermalm-Högalid,2660000,dec,2019,-1.5,2700507,3,1938
Skönviksvägen,1.0,32,Lägenhet, Enskede,2000000,dec,2019,-16.0,2380952,3,1938
Broddgränd,2.0,58,Lägenhet, Västertorp,2650000,dec,2019,20.7,2195526,3,1938
Tivolivägen,2.0,53,Lägenhet, Västberga,2600000,dec,2019,18.5,2194092,3,1938
Båstadsvägen,4.0,91,Lägenhet, Johanneshov,4495000,dec,2019,0.0,4495000,3,1938
Gamla,1.0,39,Lägenhet, Örby-Älvsjö,2100000,dec,2019,0.0,2100000,3,1938
Ellen,2.0,55,Lägenhet, Fruängen,2820000,dec,2019,28.5,2195000,3,1938
Sankt,1.0,31,Lägenhet, Kungsholmen,3300000,dec,2019,15.8,2849740,1,1938
Roslagsgatan,2.0,68,Lägenhet, Vasastan,6665000,dec,2019,6.6,6252345,1,1938
Alströmergatan,1.0,32,Lägenhet, Kungsholmen,2970000,dec,2019,21.2,2450495,1,1938
Flintbacken,2.0,36,Lägenhet, Södermalm Högalid,3120000,dec,2019,11.6,2795698,1,1938
Sandfjärdsgatan,4.0,92,Lägenhet, Årsta,3800000,dec,2019,8.7,3495860,1,1938
Svalövsvägen,2.0,58,Lägenhet, Björkhagen,3425000,dec,2019,16.1,2950043,1,1938
Elias,2.0,49,Lägenhet, Bromma Blackeberg,2350000,dec,2019,17.8,1994906,1,1938
Johan,2.0,46,Lägenhet, Hammarbyhöjden,2610000,dec,2019,33.8,1950000,1,1938
Gullmarsvägen,3.0,70,Lägenhet, Årsta,4800000,dec,2019,4.5,4593301,2,2006
Stramaljvägen,2.0,51,Lägenhet, Bromma Riksby,3025000,dec,2019,21.2,2495874,2,2006
Disponentgatan,1.0,25,Lägenhet, Kungsholmen,2325000,dec,2019,16.5,1995708,2,2006
Solskensbrinken,7.0,136,Villa, Spånga Solhöjden,5260000,dec,2019,18.2,4450084,2,2006
Pippi,2.0,49,Lägenhet, Bromma,2750000,dec,2019,10.2,2495462,2,2006
Brännkyrkagatan,1.0,26,Lägenhet, Södermalm,2800000,dec,2019,16.9,2395209,2,2006
Isbergavägen,5.0,125,Parhus, Herrängen-Älvsjö,6410000,dec,2019,6.9,5996258,2,2006
Bågljusvägen,3.0,82,Lägenhet, Kungsholmen,6000000,dec,2019,14.3,5250000,2,2006
Rindögatan,3.0,75,Lägenhet, Gärdet,7200000,dec,2019,10.9,6492335,1,1969
John,1.0,32,Lägenhet, Kungsholmen,2950000,dec,2019,2.6,2875243,1,1969
Virkesvägen,2.0,56,Lägenhet, Hammarby Sjöstad,3600000,dec,2019,0.0,3600000,1,1969
Drottninggatan,2.0,65,Lägenhet, Vasastan,6100000,dec,2019,2.5,5951219,1,1969
Grev,2.0,64,Lägenhet, Östermalm,6240000,nov,2019,4.1,5994236,1,1969
Torsgatan,2.0,49,Lägenhet, Vasastan,5275000,okt,2019,20.6,4373963,1,1969
Skebokvarnsvägen,3.0,74,Lägenhet, Högdalen,2395000,dec,2019,-14.5,2801169,1,1969
Värdshusbacken,9.0,221,Villa, Essingeöarna,29000000,nov,2019,-9.4,32008830,1,1969
Förlandagränd,2.0,71,Lägenhet, Östberga,2410000,dec,2019,34.3,1795000,1,1969
Fleminggatan,3.0,78,Lägenhet, Kungsholmen,6090000,dec,2019,-7.0,6548387,1,2004
Linnégatan,3.0,60,Lägenhet, Östermalm,6200000,dec,2019,-0.8,6250000,1,2004
Kransbindarvägen,1.0,35,Lägenhet, Telefonplan,2720000,dec,2019,23.9,2195318,1,2004
Värstagårdsvägen,3.0,75,Lägenhet, Spånga Solhem,3000000,dec,2019,8.1,2775000,1,2004
Norra,2.0,53,Lägenhet, Vasastan,5510000,dec,2019,1.1,5450049,1,2004
Kungsklippan,2.0,45,Lägenhet, Kungsholmen,3950000,dec,2019,-2.5,4051282,1,2004
Skärmarbrinksvägen,2.0,43,Lägenhet, Johanneshov,2800000,dec,2019,12.0,2499999,1,2004
Stenkvistavägen,2.0,46,Lägenhet, Högdalen,2325000,dec,2019,11.0,2094594,1,2004
Hälsingegatan,2.0,53,Lägenhet, Vasastan,4660000,dec,2019,3.7,4493731,1,2004
Mejselvägen,5.0,95,Lägenhet, Hägerstensåsen,4200000,dec,2019,-1.2,4251012,1,2004
Svartviksslingan,3.0,60,Lägenhet, Bromma,3600000,dec,2019,24.4,2893890,1,2004
Midskeppsgatan,2.0,46,Lägenhet, Hammarby Sjöstad,3040000,dec,2019,-1.9,3100000,1,2004
Midskeppsgatan,4.0,102,Lägenhet, Hammarby Sjöstad,7300000,nov,2019,8.1,6753006,2,2016
Liljeholmsbron,2.0,53,Lägenhet, Södermalm,3425000,dec,2019,5.4,3249525,2,2016
Sällhetsvägen,4.0,81,Radhus, Backlura,3350000,dec,2019,11.9,2995000,2,2016
Sällhetsvägen,5.0,95,Radhus, Hässelby,3750000,dec,2019,10.5,3393665,2,1924
Hundlokegränd,2.0,54,Lägenhet, Hässelby-Vällingby,2170000,nov,2019,14.5,1895196,2,1924
Fanérvägen,84.0,34,Radhus, Enskede,7000000,nov,2019,7.8,6493506,2,1924
Lundagårdsvägen,170.0,100,Villa, Spånga Solhem,10300000,nov,2019,17.4,8773424,2,1924
Hörningsholmsvägen,139.0,18,Villa, Älvsjö Örby Slott,6250000,dec,2019,4.3,5992329,2,1924
Skattegårdsvägen,287.0,110,Villa, Vinsta,7420000,nov,2019,6.4,6973684,2,1924
Assessorsgatan,2.0,68,Lägenhet, Södermalm,5600000,dec,2019,6.7,5250000,2,1924
Engelbrektsgatan,4.0,134,Lägenhet, Östermalm,17600000,nov,2019,26.6,13902053,3,2019
Dalkärrsleden,7.0,126,Radhus, Vällingby Nälsta,4760000,dec,2019,16.8,4075342,3,2019
Slätbaksvägen,2.0,45,Lägenhet, Årsta,2640000,dec,2019,15.0,2295652,3,2019
Förmansvägen,3.0,79,Lägenhet, Liljeholmskajen,5210000,dec,2019,8.7,4793008,3,2019
Förmansvägen,3.0,79,Lägenhet, Liljeholmskajen,5210000,dec,2019,8.7,4793008,3,2019
Arbetargatan,2.0,49,Lägenhet, Kungsholmen,4100000,dec,2019,17.3,3495311,3,2019
Gösta,1.0,30,Lägenhet, Axelsberg,1850000,dec,2019,9.1,1695692,3,2019
Karlaplan,2.0,65,Lägenhet, Östermalm,6200000,dec,2019,3.3,6001936,3,2019
Grevgatan,2.0,59,Lägenhet, Östermalm,6075000,dec,2019,3.1,5892337,3,2019
Finngrundsvägen,2.0,61,Lägenhet, Blåsut,3810000,dec,2019,27.2,2995283,3,2019
