street_name,num_of_rooms,size,type,location,sold_month,sold_year,initial_price,floor_num,year_built,final_price
Tavastgatan,2,59,Lägenhet, Södermalm Mariaberget,dec,2019,4975000,2,1750,5250000
Fyrvaktarkroken,4,88,Lägenhet, Hammarbyhöjden,jan,2020,4495000,4,2015,4950000
Sandfjärdsgatan,4,88,Lägenhet, Årsta,jan,2020,2995000,9,1960,4040000
Rågsvedsvägen,4,86,Lägenhet, Bandhagen,jan,2020,2400000,1,2018,2370000
Ågesta,2,60,Lägenhet, Farsta,maj,2016,1994401,1,1958,2850000
Porlabacken,5,97,Lägenhet, Hagsätra,jan,2020,2695000,1,1958,3350000
Torsplan,2,60,Lägenhet, Vasastan,nov,2019,6425000,14,2019,6425000
Hälsingegatan,2,67,Lägenhet, Vasastan,jan,2020,5995000,4,1906,6300000
Skebokvarnsvägen,2,59,Lägenhet, Högdalen,jan,2020,1995000,2,1956,2260000
Banérgatan,4,118,Lägenhet, Östermalm,jan,2020,12250000,1,1925,14200000
Älvsjö,2,55,Lägenhet, Älvsjö,jan,2020,2725000,5,1974,2880000
Stavangergatan,3,76,Lägenhet, Husby,jan,2020,1850000,4,1974,2000000
Tranebergsplan,2,35,Lägenhet, Bromma,nov,2019,1995000,1,1936,2530000
Östgötagatan,3,72,Lägenhet, Södermalm,jan,2020,6000000,1,1930,6000000
Döbelnsgatan,2,57,Lägenhet, Vasastan,jan,2020,4950000,4,1884,5700000
Polhemsgatan,3,76,Lägenhet, Kungsholmen,dec,2019,7300000,4,1931,7900000
Skebokvarnsvägen,3,61,Lägenhet, Högdalen,jan,2020,1995000,3,1954,2640000
Agnes,3,68,Lägenhet, Fruängen,jan,2020,3095000,6,1955,3600000
Johan,2,53,Lägenhet, Älvsjö Centrum,jan,2020,2395000,3,1939,2660000
Vanadisvägen,2,39,Lägenhet, Vasastan,jan,2020,3650000,2,1913,3900000
Torsplan,3,93,Lägenhet, Vasastan,jan,2020,12500000,16,2016,13000000
Norrbackagatan,2,42,Lägenhet, Vasastan,jan,2020,2975000,2,1935,3600000
Elin,3,73,Lägenhet, Fruängen,jan,2020,2795000,3,1958,3300000
